date,rate,kwh_used
2022-01-01,0.49,670
2022-02-01,0.49,720
2022-03-01,0.49,580
2022-04-01,0.49000000000000005,451
2022-05-01,0.49,460
2022-06-01,0.49,411
2022-07-01,0.49000000000000005,492
2022-08-01,0.49,905
2022-09-01,0.49,667
2022-10-01,0.49000000000000005,583
2022-11-01,0.49,432
2022-12-01,0.4858059914407989,701
2023-01-01,0.4842289719626168,856
2023-02-01,0.48654654654654655,666
2023-03-01,0.49017964071856285,668
2023-04-01,0.49573502722323043,551
2023-05-01,0.3849684210526316,475
2023-06-01,0.3033273381294964,556
2023-07-01,0.3020022883295194,874
2023-08-01,0.30651734104046247,692
2023-09-01,0.30643776824034336,699
2023-10-01,0.3139316239316239,468
2023-11-01,0.3357773512476008,521
2023-12-01,0.352379679144385,748
2024-01-01,0.350949105914718,727
2024-02-01,0.3492551724137931,725
2024-03-01,0.3552476780185759,646
2024-04-01,0.35990950226244345,663
2024-05-01,0.36800856531049253,467
2024-06-01,0.36666206896551723,725
2024-07-01,0.3198737174427782,1267
2024-08-01,0.325426731078905,621
2024-09-01,0.3265658362989324,562
2024-10-01,0.3221933471933472,962
2024-11-01,0.3236161335187761,1438
